PICKUPLAT,PICKUPLONG,DROPOFFLAT,DROPOFFLONG
53.591161,-113.542726,53.559829,-113.54912
53.534755,-113.62489,53.533696,-113.636545
53.47378,-113.527602,53.575461,-113.400363
53.518398,-113.514455,53.561197,-113.500849
53.561197,-113.500849,53.518398,-113.514455
53.475581,-113.442929,53.541281,-113.529294
53.540067,-113.513031,53.52321,-113.616518
53.52321,-113.616518,53.540067,-113.513031
53.492609,-113.40097,53.513468,-113.509988
53.531955,-113.582807,53.560759,-113.563958
53.560759,-113.563958,53.531955,-113.582807
53.513468,-113.509988,53.492609,-113.40097
53.545633,-113.49023,53.481818,-113.406091
53.559743,-113.499282,53.52205,-113.487546
53.519358,-113.49442,53.559743,-113.499282
53.548328,-113.536262,53.521398,-113.612493
53.482044,-113.497936,53.538494,-113.504224
53.445692,-113.482486,53.483935,-113.384012
53.446886,-113.496936,53.459322,-113.514329
53.506421,-113.618343,53.51969,-113.618464
53.547134,-113.565139,53.536949,-113.576813
53.536949,-113.576813,53.547134,-113.565139
53.49004,-113.514959,53.485223,-113.514759
53.562042,-113.505353,53.549279,-113.481547
53.559537,-113.497126,53.629558,-113.556763
53.629558,-113.556763,53.559537,-113.497126
53.485223,-113.514759,53.49004,-113.514959
53.455314,-113.423935,53.544684,-113.491328
53.440715,-113.460393,53.546647,-113.489628
53.546647,-113.489628,53.440715,-113.460393
53.440715,-113.460393,53.546647,-113.489628
53.546647,-113.489628,53.440715,-113.460393
53.573091,-113.709986,53.520591,-113.625025
53.520591,-113.625025,53.573091,-113.709986
53.567845,-113.547893,53.559149,-113.553832
53.559154,-113.553835,53.567845,-113.547893
53.605339,-113.484676,53.596435,-113.409196
53.573941,-113.433324,53.543772,-113.502526
53.543772,-113.502526,53.573941,-113.433324
53.541742,-113.511714,53.503925,-113.617652
53.484415,-113.497444,53.614247,-113.491377
53.492853,-113.579045,53.570111,-113.483958
53.548733,-113.430503,53.569456,-113.486274
53.609592,-113.55426,53.612463,-113.51457
53.612463,-113.51457,53.609592,-113.55426
53.552544,-113.473956,53.541998,-113.58954
53.560161,-113.455131,53.557503,-113.494283
53.46108,-113.530529,53.501341,-113.635207
53.596435,-113.409196,53.605339,-113.484676
53.540435,-113.607026,53.524069,-113.580953
53.524069,-113.580953,53.540435,-113.607026
53.570111,-113.483958,53.492853,-113.579045
53.462287,-113.436146,53.568225,-113.459768
53.568225,-113.459768,53.462287,-113.436146
53.462287,-113.436146,53.568225,-113.459768
53.568225,-113.459768,53.462287,-113.436146
53.52417,-113.4853,53.542506,-113.493732
53.532209,-113.419578,53.605339,-113.484676
53.605339,-113.484676,53.532209,-113.419578
53.532209,-113.419578,53.605339,-113.484676
53.434695,-113.579831,53.459793,-113.506059
53.459793,-113.506059,53.434695,-113.579831
53.513069,-113.473999,53.559704,-113.548211
53.557049,-113.497518,53.564862,-113.492278
53.559537,-113.497126,53.546907,-113.443532
53.501731,-113.472566,53.516878,-113.526321
53.516878,-113.526321,53.501731,-113.472566
53.550072,-113.531151,53.6016,-113.400776
53.600367,-113.41044,53.541292,-113.531678
53.548709,-113.535883,53.598611,-113.489758
53.605339,-113.484676,53.600367,-113.41044
53.52334,-113.612853,53.514567,-113.511439
53.600602,-113.408156,53.599141,-113.387409
53.54555,-113.48157,53.516878,-113.526321
53.516878,-113.526321,53.54555,-113.48157
53.514567,-113.511439,53.52334,-113.612853
53.552544,-113.473956,53.5408,-113.425302
53.539507,-113.421651,53.552544,-113.473956
53.520652,-113.593592,53.513692,-113.651806
53.513692,-113.651806,53.520652,-113.593592
53.573223,-113.535356,53.559532,-113.614243
53.559532,-113.614243,53.573223,-113.535356
53.599141,-113.387409,53.600111,-113.401985
53.600111,-113.401985,53.600602,-113.408156
53.603143,-113.538931,53.598611,-113.489758
53.598611,-113.489758,53.603143,-113.538931
53.603143,-113.538931,53.616634,-113.503732
53.591604,-113.533901,53.556687,-113.385318
53.556687,-113.385318,53.591604,-113.533901
53.513026,-113.482616,53.559149,-113.553832
53.559154,-113.553835,53.513026,-113.482616
53.454761,-113.398353,53.456625,-113.426861
53.454393,-113.434662,53.454761,-113.398353
53.588465,-113.556911,53.452524,-113.485264
53.452524,-113.485264,53.588465,-113.556911
53.516361,-113.489194,53.45242,-113.513898
53.558223,-113.390608,53.600455,-113.487357
53.627427,-113.528578,53.556687,-113.385318
53.518398,-113.514455,53.532207,-113.496319
53.60241,-113.444562,53.564808,-113.398966
53.516878,-113.526321,53.54555,-113.48157
53.540634,-113.509026,53.594766,-113.41514
53.540634,-113.509026,53.6016,-113.400776
53.6016,-113.400776,53.603353,-113.419294
53.470455,-113.509371,53.559537,-113.497126
53.559537,-113.497126,53.470455,-113.509371
53.532207,-113.496319,53.518398,-113.514455
53.624831,-113.452171,53.450062,-113.499258
53.450062,-113.499258,53.624831,-113.452171
53.559704,-113.548211,53.572397,-113.477679
53.521223,-113.466759,53.517989,-113.531256
53.458255,-113.368987,53.484937,-113.407898
53.45698,-113.454485,53.549993,-113.488467
53.612463,-113.51457,53.557049,-113.497518
53.494886,-113.434734,53.509001,-113.636439
53.494886,-113.434734,53.450728,-113.465054
53.521223,-113.466759,53.517989,-113.531256
53.517989,-113.531256,53.521223,-113.466759
53.542506,-113.493732,53.52417,-113.4853
53.576139,-113.463245,53.511931,-113.517364
53.511931,-113.517364,53.576139,-113.463245
53.516502,-113.565293,53.554254,-113.621927
53.551618,-113.509895,53.455314,-113.423935
53.587407,-113.444728,53.556687,-113.385318
53.525301,-113.487307,53.517195,-113.570949
53.517195,-113.570949,53.525301,-113.487307
53.557975,-113.499771,53.589759,-113.674936
53.444547,-113.564558,53.437781,-113.604108
53.558491,-113.476037,53.588904,-113.442557
53.588904,-113.442557,53.558491,-113.476037
53.539845,-113.417497,53.609752,-113.452558
53.517832,-113.607323,53.587309,-113.603569
